TSB_nm,lambda_nm,T
3.0,650.0,0.3803399061088012
3.0,652.0000000000001,0.4861418086391226
3.0,654.0,0.5720216462788635
3.0,656.0,0.6394092673747405
3.0,658.0000000000001,0.6915368213518076
3.0,660.0,0.731715177053186
3.0,662.0000000000001,0.7627438072957021
3.0,664.0,0.7868159328847512
3.0,666.0000000000001,0.8055946175203555
3.0,668.0,0.8203256074846169
3.0,670.0,0.8319404664355928
3.0,672.0000000000001,0.8411385576152253
3.0,674.0,0.8484485802204221
3.0,676.0000000000001,0.8542736197884357
3.0,678.0,0.8589238190264484
3.0,680.0,0.862640041757843
3.0,682.0,0.8656110705554044
3.0,684.0,0.8679861795848217
3.0,686.0000000000001,0.8698843946849214
3.0,688.0,0.8714013695769968
3.0,690.0000000000001,0.8726145356826994
3.0,692.0000000000001,0.8735869924484689
3.0,694.0,0.8743704715207005
3.0,696.0,0.8750076143392879
3.0,698.0,0.8755337365780964
3.0,700.0000000000001,0.8759782059446666
3.0,702.0,0.8763655263458768
3.0,704.0000000000001,0.8767161973267484
3.0,706.0000000000001,0.8770474002278488
3.0,708.0,0.8773735497580064
3.0,710.0,0.8777067403040555
3.0,712.0,0.8780571093550774
3.0,714.0000000000001,0.8784331352336318
3.0,716.0,0.8788418824356313
3.0,718.0,0.8792892049329701
3.0,720.0000000000001,0.8797799155516572
3.0,722.0,0.8803179278193646
3.0,724.0,0.8809063753508986
3.0,726.0000000000001,0.8815477128138499
3.0,728.0000000000001,0.882243801713581
3.0,730.0,0.8829959836092856
3.0,732.0,0.8838051428760432
3.0,734.0000000000001,0.8846717607355457
3.0,736.0,0.8855959619640684
3.0,738.0000000000001,0.8865775554361266
3.0,740.0000000000001,0.8876160694593516
3.0,742.0,0.8887107826947785
3.0,744.0,0.8898607513216837
3.0,746.0,0.8910648329999966
3.0,748.0000000000001,0.892321708093607
3.0,750.0,0.8936298985450672
4.0,450.00000000000006,0.1062445173403321
4.0,452.0,0.1488017363911815
4.0,454.0,0.1816662482902256
4.0,456.0000000000001,0.2023255627173019
4.0,458.0000000000001,0.2111361307325431
4.0,460.00000000000006,0.2097680218031173
4.0,462.00000000000006,0.2002878819032881
4.0,464.0,0.1846457250283509
4.0,466.0,0.1645038707393434
4.0,468.0,0.141247343943675
4.0,470.0000000000001,0.1160785434948317
4.0,472.00000000000006,0.090145827875948
4.0,474.00000000000006,0.064680560537333
