% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:26"
% Table,Umami Table - Umami-Evaluation
% lambda (m),d (nm),lambda0 (µm),Total transmittance (1)
4.98E-7,115,0.49800000000000005,0.3031064007143049
4.98E-7,120,0.49800000000000005,0.24535529092301978
5.000000000000001E-7,94.99999999999999,0.5000000000000001,0.44478775488656125
5.000000000000001E-7,100,0.5000000000000001,0.41011525415886385
5.000000000000001E-7,104.99999999999999,0.5000000000000001,0.3656590699588215
5.000000000000001E-7,109.99999999999999,0.5000000000000001,0.32136764792351497
5.000000000000001E-7,115,0.5000000000000001,0.27313900215996795
5.000000000000001E-7,120,0.5000000000000001,0.2244315491259261
5.02E-7,94.99999999999999,0.502,0.3158790556607892
5.02E-7,100,0.502,0.3076414130465249
5.02E-7,104.99999999999999,0.502,0.2822395355558499
5.02E-7,109.99999999999999,0.502,0.25505872235636456
5.02E-7,115,0.502,0.22007908959505457
5.02E-7,120,0.502,0.1832308160764506
5.040000000000001E-7,94.99999999999999,0.5040000000000001,0.13002290227811983
5.040000000000001E-7,100,0.5040000000000001,0.15969920042350932
5.040000000000001E-7,104.99999999999999,0.5040000000000001,0.16298864085574272
5.040000000000001E-7,109.99999999999999,0.5040000000000001,0.1595650871848036
5.040000000000001E-7,115,0.5040000000000001,0.14301395036147865
5.040000000000001E-7,120,0.5040000000000001,0.12158162290901176
5.06E-7,94.99999999999999,0.506,8.384793167745097E-8
5.06E-7,100,0.506,0.015724315963197014
5.06E-7,104.99999999999999,0.506,0.03432405045961797
5.06E-7,109.99999999999999,0.506,0.0498936595317064
5.06E-7,115,0.506,0.052800135196769946
5.06E-7,120,0.506,0.048583542537059876
5.08E-7,94.99999999999999,0.508,0.182991994076846
5.08E-7,100,0.508,0.06759277287666465
5.08E-7,104.99999999999999,0.508,0.01984155445603298
5.08E-7,109.99999999999999,0.508,0.002116659325354968
5.08E-7,115,0.508,1.3537749358110287E-5
5.08E-7,120,0.508,6.987093723254426E-4
5.1E-7,94.99999999999999,0.51,0.48828900778434375
5.1E-7,100,0.51,0.34550088033786547
5.1E-7,104.99999999999999,0.51,0.22870302567107625
5.1E-7,109.99999999999999,0.51,0.13359095288129685
5.1E-7,115,0.51,0.0800796553146847
5.1E-7,120,0.51,0.05187640862262052
5.12E-7,94.99999999999999,0.512,0.6669037993708713
5.12E-7,100,0.512,0.5797628639653494
5.12E-7,104.99999999999999,0.512,0.4866616937531513
5.12E-7,109.99999999999999,0.512,0.3826516596876167
5.12E-7,115,0.512,0.29664402715158183
5.12E-7,120,0.512,0.2332443928312713
