% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:30"
% Table,Chilly Table - Chilly-Evaluation
% lambda (m),n_env_0,lambda0 (µm),Total transmittance (1),Total transmittance (1),Total transmittance (1),Total transmittance (1)
6.850000000000001E-7,1.34,0.6850000000000002,0.4128252548461587,0.9814588699885228,0.9814588699885228,0.9655605339781687
6.850000000000001E-7,1.35,0.6850000000000002,0.9303336258059502,0.9836899782959151,0.9836899782959151,0.9710533281408905
6.900000000000001E-7,1.32,0.6900000000000001,0.8490122649440454,0.9655605339781858,0.9655605339781858,0.9762701301680664
6.900000000000001E-7,1.33,0.6900000000000001,0.9331245074915497,0.9683363075954514,0.9683363075954514,0.9811288340843367
6.900000000000001E-7,1.34,0.6900000000000001,0.944795044464638,0.9710533281409012,0.9710533281409012,0.9501553278537774
6.900000000000001E-7,1.35,0.6900000000000001,0.9500597156725792,0.9737013661912958,0.9737013661912958,0.9561676689205758
6.950000000000001E-7,1.32,0.6950000000000002,0.8914747102288315,0.9762701301680765,0.9762701301680765,0.9620628529980392
6.950000000000001E-7,1.33,0.6950000000000002,0.7634070350208043,0.9787493462617185,0.9787493462617185,0.9677791787445723
6.950000000000001E-7,1.34,0.6950000000000002,0.7937822830431522,0.9811288340843103,0.9811288340843103,0.9732442108423568
6.950000000000001E-7,1.35,0.6950000000000002,0.9342844379657678,0.9620628529979764,0.9620628529979764,0.9783802245323938
7.000000000000001E-7,1.32,0.7000000000000001,0.9103967955738006,0.9649477233989991,0.9649477233989991,0.9458740901928073
7.000000000000001E-7,1.33,0.7000000000000001,0.9121584301628388,0.9677791787446206,0.9677791787446206,0.952200408383186
7.000000000000001E-7,1.34,0.7000000000000001,0.9069463540524466,0.9705478904288201,0.9705478904288201,0.9583554531733537
7.000000000000001E-7,1.35,0.7000000000000001,0.8419665625320232,0.9732442108423257,0.9732442108423257,0.964317631449464
7.05E-7,1.32,0.7050000000000001,0.9086321307596776,0.9758582980644059,0.9758582980644059,0.9700362863617589
7.05E-7,1.33,0.7050000000000001,0.9132687494998204,0.9783802245324198,0.9783802245324198,0.975445561700409
7.05E-7,1.34,0.7050000000000001,0.9176054114405341,0.9583554531732691,0.9583554531732691,0.9407782589751587
7.05E-7,1.35,0.7050000000000001,0.920731230468833,0.9613633389132912,0.9613633389132912,0.9477491632544565
7.100000000000001E-7,1.32,0.7100000000000001,0.904659199260185,0.9643176314493977,0.9643176314493977,0.9543249783931579
7.100000000000001E-7,1.33,0.7100000000000001,0.9095353540885698,0.9672112701008593,0.9672112701008593,0.9606114195900595
7.100000000000001E-7,1.34,0.7100000000000001,0.9146267816256206,0.9700362863617612,0.9700362863617612,0.966619340132107
7.100000000000001E-7,1.35,0.7100000000000001,0.9197837225525516,0.9727840671623829,0.9727840671623829,0.9723144810101144
7.150000000000001E-7,1.32,0.7150000000000002,0.9003796973931334,0.9754455617004214,0.9754455617004214,0.9331837459491888
7.150000000000001E-7,1.33,0.7150000000000002,0.905069589774709,0.9543249783931089,0.9543249783931089,0.9421061072475058
7.150000000000001E-7,1.34,0.7150000000000002,0.9101000464330663,0.9575022464973659,0.9575022464973659,0.9496442075338796
7.150000000000001E-7,1.35,0.7150000000000002,0.9154046160588948,0.960611419590101,0.960611419590101,0.9565013114104972
7.200000000000001E-7,1.32,0.7200000000000001,0.896275331886744,0.9636516220618921,0.9636516220618921,0.9629148840174077
7.200000000000001E-7,1.33,0.7200000000000001,0.9006469882489447,0.9666193401321036,0.9666193401321036,0.9689496290685962
7.200000000000001E-7,1.34,0.7200000000000001,0.9054151000895891,0.9695091934560968,0.9695091934560968,0.9097605741231923
7.200000000000001E-7,1.35,0.7200000000000001,0.9105340849758206,0.9723144810100426,0.9723144810100426,0.9318456803689049
7.25E-7,1.32,0.7250000000000001,0.8925236751675963,0.9496442075339177,0.9496442075339177,0.9431007885308741
7.25E-7,1.33,0.7250000000000001,0.8965187052928831,0.9531371043561958,0.9531371043561958,0.9514836924079643
7.25E-7,1.34,0.7250000000000001,0.9009442154538084,0.9565013114105304,0.9565013114105304,0.958694392020965
7.25E-7,1.35,0.7250000000000001,0.9057642819124392,0.9597570458330468,0.9597570458330468,0.9652430473290567
